D‚formation,Contrainte (MPa)
-0.004171244,-167.730838
-0.004305921,-168.0147807
-0.004438633,-168.8402815
-0.004567538,-169.2952141
-0.004697311,-169.6499463
-0.004826469,-170.3958011
-0.004888706,-167.6639299
-0.004753746,-158.5362344
-0.004624283,-149.9572771
-0.004486806,-140.6321204
-0.004351257,-132.0594661
-0.004222152,-123.3156195
-0.004083166,-114.3329061
-0.003958166,-105.6715677
-0.003819144,-96.77694961
-0.003690396,-87.64682605
-0.003558598,-79.25918763
-0.003429052,-70.10145482
-0.003289631,-61.29365009
-0.003159218,-52.7993202
-0.003027782,-43.87456029
-0.002903113,-34.90374948
-0.002769355,-26.60794982
-0.002632125,-17.75996365
-0.002499732,-9.380140747
-0.002371433,-0.783099567
-0.00223652,7.781961897
-0.002112175,16.17472653
-0.001973429,24.58138389
-0.001842435,32.89699064
-0.001713089,41.08649551
-0.001585191,49.67897563
-0.001451738,57.58140607
-0.001326257,65.98643598
-0.001189015,74.24363822
-0.00106192,81.95122759
-0.000932306,89.96321398
-0.000797734,97.74081819
-0.000666471,104.934536
-0.00054648,112.0522615
-0.000397777,118.3393398
-0.000267971,124.077158
-0.000144149,129.4367959
-8.93645E-06,133.6909216
0.000120034,137.7321801
0.000254033,141.2416305
0.00038666,144.2863169
0.000516421,147.3800001
0.000648443,149.9956887
0.000774957,152.2188202
0.000907883,154.6536519
0.001030908,156.3564584
0.00117397,158.3614948
0.001306554,160.2597896
0.001434358,161.7079183
0.001564506,163.4303148
0.001702616,164.8108171
0.001826087,165.8772183
0.001957448,167.4966438
0.002087088,168.5508917
0.002217708,169.6485767
0.002350629,170.9200053
0.00248177,171.771965
0.002612639,172.754722
0.002742656,173.7795276
0.002873548,174.4371577
0.003004576,175.5839376
0.003139927,176.3568359
0.003267739,176.9873411
0.003397177,177.8743197
0.003532882,178.3872351
0.003662026,179.1010733
0.003786991,180.0612381
0.003916458,180.4659003
0.004052825,181.2012827
0.004182455,181.8973724
0.004314512,182.2729347
0.004439074,183.0751772
0.004577566,183.4748955
0.004704249,183.8338868
0.004835423,184.5804912
0.004869598,180.7699382
0.004740917,171.5477525
0.004599246,162.9453219
0.00447587,153.8151649
0.00434327,145.1558413
0.004201571,136.5837759
0.004074822,127.4383841
0.00394483,119.1378535
0.00380362,110.1654664
0.003677394,101.2042741
0.00354735,92.74098584
0.003412478,83.89884074
0.003282234,75.13560666
0.003151146,66.76786928
0.003019994,57.74524936
0.002887306,49.32929601
0.002757097,40.86316204
0.002613756,32.02303168
0.00248653,23.68090969
0.002362585,15.38250507
0.002230046,6.427687747
0.002099939,-1.678917626
0.001966665,-10.06553293
0.001831819,-18.56662234
0.001702522,-26.65603636
0.001570664,-34.959634
0.001440267,-43.37037826
0.001309358,-51.2695517
0.001180592,-59.52618397
0.001051502,-67.51709597
0.00092056,-75.42191486
0.000794282,-83.46811426
0.000653303,-91.02457304
0.000525027,-98.24112733
0.000392894,-105.3627675
0.000261234,-111.3601198
0.000133943,-117.0526262
4.34054E-06,-122.1468027
-0.000130735,-126.3858962
-0.000261946,-130.5527826
-0.000391401,-134.1938572
-0.000523138,-137.1051991
-0.000653978,-140.2148833
-0.00079253,-142.8342756
-0.000917142,-145.0878913
-0.001044967,-147.4829063
-0.001183399,-149.3834539
-0.00130885,-151.2418527
-0.001446641,-153.18034
-0.001578723,-154.5482006
-0.001704829,-156.1781946
-0.001839311,-157.8419715
-0.001965338,-158.960044
-0.002100891,-160.2990343
-0.002233192,-161.5519357
-0.002359705,-162.6018452
-0.002493077,-163.8735849
-0.00262201,-164.7902501
-0.002754021,-165.5870434
-0.002882154,-166.7984975
-0.003011848,-167.5457387
-0.003152924,-168.4198
-0.003275903,-169.2596232
-0.003405899,-169.8488272
-0.003537786,-170.7275193
-0.003666282,-171.5773744
-0.003798142,-172.0232522
-0.003931729,-172.9238516
-0.004061177,-173.5154024
-0.004188493,-173.8671344
-0.004318763,-174.7154404
-0.004450721,-175.1413043
-0.004581706,-175.5713627
-0.004711615,-176.3652853
-0.004842556,-176.6971016
-0.004865328,-172.6536259
-0.004731418,-163.7108001
-0.00460077,-154.5793383
-0.004466601,-145.8825489
-0.004335836,-137.0821997
-0.004195202,-127.785051
-0.004063914,-119.437104
